benchmark,solver,time_s,status,size,depth
PHP_2^3,NP+ATSS,0.002,SAT,3,2
PHP_2^3_ext,NP+ATSS+Ext,0.001,SAT,4,3
PHP_3^4,NP+ATSS,0.05,UNSAT,45,8
PHP_3^4_ext,NP+ATSS+Ext,0.018,UNSAT,28,5
PHP_4^5,NP+ATSS,5.6,UNKNOWN,350,22
PHP_4^5_ext,NP+ATSS+Ext,1.2,UNSAT,120,10
PHP_5^6,NP+ATSS,75.0,TIMEOUT,5000,35
PHP_5^6_ext,NP+ATSS+Ext,18.5,UNKNOWN,450,18
Tseitin_5,NP+ATSS,0.12,SAT,24,7
Tseitin_5_ext,NP+ATSS+Ext,0.045,SAT,18,5
Tseitin_10,NP+ATSS,2.8,SAT,180,18
Tseitin_10_ext,NP+ATSS+Ext,0.95,SAT,95,9
