epoch,solver,solved,failed,solve_rate,avg_time_ms
1,with_ATSS,10,0,1.0,0.21
1,without_ATSS,10,0,1.0,0.2
2,with_ATSS,10,0,1.0,0.04
2,without_ATSS,10,0,1.0,0.03
3,with_ATSS,10,0,1.0,0.04
3,without_ATSS,10,0,1.0,0.04
4,with_ATSS,10,0,1.0,0.05
4,without_ATSS,10,0,1.0,0.04
5,with_ATSS,10,0,1.0,0.03
5,without_ATSS,10,0,1.0,0.03
6,with_ATSS,10,0,1.0,0.05
6,without_ATSS,10,0,1.0,0.04
7,with_ATSS,10,0,1.0,0.02
7,without_ATSS,10,0,1.0,0.02
8,with_ATSS,10,0,1.0,0.02
8,without_ATSS,10,0,1.0,0.02
9,with_ATSS,10,0,1.0,0.03
9,without_ATSS,10,0,1.0,0.03
10,with_ATSS,10,0,1.0,0.04
10,without_ATSS,10,0,1.0,0.03
